,content,sentimen
0,Komunitasnya aktif dan bagus sekali,1.0
1,LOSE STREAK MULU PADAHAL MASIH GOLD MUSUH UDAH SUSAH SEMUA,0.0
2,Gamenya bagus dan nggak butuh penyimpanan yg banyak daripada ml jadi lebih enak untuk di mainkan saya kasih lima bintang⭐⭐⭐⭐⭐,1.0
3,gm nya lebih bagus dari pada ml grafik hd,1.0
4,bagus game nya,1.0
5,Desain heronya bagus,1.0
6,mantap lah game ini kesukaan ku,1.0
7,Gameplaynya mantap dengan strategi tinggi,1.0
8,Gamenya sangat bagus untuk dimainkan,1.0
9,mantap gamenya,1.0
10,Game apa ini game nyindir player ml,0.0
11,Kontrolnya mantap dan responsif,1.0
12,Hero-nya beragam dan sangat menghibur,1.0
13,Bagus gemanya,1.0
14,bagus lah pokok nya,1.0
15,mirip ml,1.0
16,Bikin lag,0.0
17,Banyak lag saat bermain,0.0
18,game ini sangat seru,1.0
19,Sangat bagus sekali,1.0
20,bANYAK DARK SISTEM ANJ,0.0
21,Ni game kebanyakan stun babi,0.0
22,"11,12 sama ml bnyak dark sistem",0.0
23,Skill hero sangat bagus dan unik,1.0
24,"Saya mencoba bermain custom dengan AI, tapi tidak bisa dijadikan tempat berlatih karena AI terlalu bego dalam memilih lane dan juga buta map",0.0
25,Dasar plagiat,0.0
26,Tolong min jaringannya lebih ditingkatkan lagi soalnya aku main pakai wifi tapi kok masih lag padahal jaringan wifi udah stabil..... Itu aja sih min selebihnya udah mantep kok,0.0
27,game niru,0.0
28,Hero heronya dapat dari aov cuman ganti nama doang,0.0
29,Iklannya terlalu mengganggu game lain,0.0
30,masih bingung,0.0
31,Event dalam game sangat menghibur,1.0
32,Game niruin Mobilr legends awokawokawok,0.0
33,"heh bodoh yg buat game, tau diri lah anjingg, masih pangkat rendah ngasih tim bot, ngasih lawan pro player, dimana letak akalnya coba, hadeh pikirlah ANJINGGG , bocil aru main game ini gk usah pada download lh, main berbi aja udh, sok"" nyoba game baru, main skill gk ada sama sekali hadeh, ngabis'sin batre aja pikir"" lh ngasih tim woi yg buat game ANJINGGGGG BODOH APA GIMANAA MASIH PANGKAT RENDAH LO KONTOLLLL DIKASIH TIM KROCO LAWAN PRO PLAYERR HADEHHH ANJINGGGG",0.0
34,Lumayan memuaskan game nya juga bagus mantap sih ini,1.0
35,Keren sekali. Hero banyak dan desain skin menarik. Banyak gratisan. Ayo main bareng semuanya,1.0
36,seru banget game nya,1.0
37,Tetap semangat untuk menyaingi monton🗿,1.0
38,Hasil akhir tidak sesesui harus nya saya mendapat mvp dengan kda tertinggi,0.0
39,Game burik mending mobile legen,0.0
40,Gameplaynya mantap dengan strategi tinggi,1.0
41,"aku senang sekali memainkan game ini, game ini mengasih skin² dari rare - legand dan itu gratis",1.0
42,Game plagiat,0.0
43,"keren game nya banyak skin skin keren,, :v",1.0
44,Gamenya sangat bagus untuk dimainkan,1.0
45,game kntl,0.0
46,sangat bagus,1.0
47,Geme plagiat,0.0
48,Gem nya bagus,1.0
49,Gem ini seberu bangett,1.0
50,Event dalam game sangat menghibur,1.0
51,Kenapa gw dapet tim dark sistem tim gw bot musuh gw gg semua ini gimana caranya gw menang ayolah yang bener aja males main,0.0
52,Gem ini bagu dari penampilan nya juga bagus apalagi pas mainnnya jadi saya suka permainan ini,1.0
53,geme ini sangat seru,1.0
54,Update terbaru membuatnya lebih mantap,1.0
55,Efek suaranya mantap dan keren,1.0
56,seru nggak kaya mobile legend cacat,1.0
57,tak ada lawan mantaf,1.0
58,"grafik oke, Skin banyak dan gratis untuk pemula, Tencent dabest lah",1.0
59,Gamenya sih okelah bagus mirip ml aku kasih bintang 5,1.0
60,Update terbaru membuatnya lebih mantap,1.0
61,Mending ml,0.0
62,"gamenya sangat seru dibandingkan game sebelah, developer tidak pelit sama sekali, pokoknya mantap deh",1.0
63,keren gamenya dan seru,1.0
64,Hero-nya beragam dan sangat menghibur,1.0
65,Agak ngeleg² kalo di pencet,0.0
66,"Nama namah heronya gak jelas nama cina,coba cari nama yg global yg mudah di sebutin, ya oke lah buat bebepara Hero sejarah dan mitologi cina dengan nama cina nya. Lah ini banyak Hero yg bukan siapa siapa di cina dibikin Hero dengan nama cina 🥱",0.0
