,content,lower_case,clean_1,clean_2,normalized,tokens,stopword,stemming,sentimen
0,Bagussssssssssss,bagussssssssssss,bagussssssssssss,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
1,LOSE STREAK MULU PADAHAL MASIH GOLD MUSUH UDAH SUSAH SEMUA,lose streak mulu padahal masih gold musuh udah susah semua,lose streak mulu padahal masih gold musuh udah susah semua,lose streak mulu padahal masih gold musuh udah susah semua,lose streak mulu padahal masih gold musuh udah susah semua,"['lose', 'streak', 'mulu', 'padahal', 'masih', 'gold', 'musuh', 'udah', 'susah', 'semua']","['lose', 'streak', 'mulu', 'gold', 'musuh', 'udah', 'susah', 'semua']","['lose', 'streak', 'mulu', 'gold', 'musuh', 'udah', 'susah', 'semua']",2.0
2,Gamenya bagus dan nggak butuh penyimpanan yg banyak daripada ml jadi lebih enak untuk di mainkan saya kasih lima bintang⭐⭐⭐⭐⭐,gamenya bagus dan nggak butuh penyimpanan yg banyak daripada ml jadi lebih enak untuk di mainkan saya kasih lima bintang⭐⭐⭐⭐⭐,gamenya bagus dan nggak butuh penyimpanan yg banyak daripada ml jadi lebih enak untuk di mainkan saya kasih lima bintang,gamenya bagus dan ngak butuh penyimpanan yg banyak daripada ml jadi lebih enak untuk di mainkan saya kasih lima bintang,gamenya bagus dan tidak butuh penyimpanan yang banyak daripada ml jadi lebih enak untuk di mainkan saya kasih lima bintang,"['gamenya', 'bagus', 'dan', 'tidak', 'butuh', 'penyimpanan', 'yang', 'banyak', 'daripada', 'ml', 'jadi', 'lebih', 'enak', 'untuk', 'di', 'mainkan', 'saya', 'kasih', 'lima', 'bintang']","['gamenya', 'bagus', 'tidak', 'butuh', 'penyimpanan', 'banyak', 'ml', 'lebih', 'enak', 'mainkan', 'kasih', 'bintang']","['gamenya', 'bagus', 'tidak', 'butuh', 'simpan', 'banyak', 'ml', 'lebih', 'enak', 'main', 'kasih', 'bintang']",1.0
5,gm nya lebih bagus dari pada ml grafik hd,gm nya lebih bagus dari pada ml grafik hd,gm nya lebih bagus dari pada ml grafik hd,gm nya lebih bagus dari pada ml grafik hd,game nya lebih bagus dari pada ml grafik hd,"['game', 'nya', 'lebih', 'bagus', 'dari', 'pada', 'ml', 'grafik', 'hd']","['game', 'lebih', 'bagus', 'ml', 'grafik', 'hd']","['game', 'lebih', 'bagus', 'ml', 'grafik', 'hd']",1.0
6,bagus game nya,bagus game nya,bagus game nya,bagus game nya,bagus game nya,"['bagus', 'game', 'nya']","['bagus', 'game']","['bagus', 'game']",1.0
7,Desain heronya bagus,desain heronya bagus,desain heronya bagus,desain heronya bagus,desain heronya bagus,"['desain', 'heronya', 'bagus']","['desain', 'heronya', 'bagus']","['desain', 'hero', 'bagus']",1.0
11,mantap lah game ini kesukaan ku,mantap lah game ini kesukaan ku,mantap lah game ini kesukaan ku,mantap lah game ini kesukan ku,mantap lah game ini kesukaan aku,"['mantap', 'lah', 'game', 'ini', 'kesukaan', 'aku']","['mantap', 'game', 'kesukaan']","['mantap', 'game', 'suka']",1.0
12,hebat,hebat,hebat,hebat,hebat,['hebat'],['hebat'],['hebat'],1.0
14,mantappppp,mantappppp,mantappppp,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
15,mantap gamenya,mantap gamenya,mantap gamenya,mantap gamenya,mantap gamenya,"['mantap', 'gamenya']","['mantap', 'gamenya']","['mantap', 'gamenya']",1.0
16,Game apa ini game nyindir player ml,game apa ini game nyindir player ml,game apa ini game nyindir player ml,game apa ini game nyindir player ml,game apa ini game nyindir player ml,"['game', 'apa', 'ini', 'game', 'nyindir', 'player', 'ml']","['game', 'game', 'nyindir', 'player', 'ml']","['game', 'game', 'nyindir', 'player', 'ml']",2.0
18,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
19,Bgus,bgus,bgus,bgus,bagus,['bagus'],['bagus'],['bagus'],1.0
20,Bagus gemanya,bagus gemanya,bagus gemanya,bagus gemanya,bagus gamenya,"['bagus', 'gamenya']","['bagus', 'gamenya']","['bagus', 'gamenya']",1.0
22,bagus lah pokok nya,bagus lah pokok nya,bagus lah pokok nya,bagus lah pokok nya,bagus lah pokok nya,"['bagus', 'lah', 'pokok', 'nya']","['bagus', 'pokok']","['bagus', 'pokok']",1.0
23,mirip ml,mirip ml,mirip ml,mirip ml,mirip ml,"['mirip', 'ml']","['mirip', 'ml']","['mirip', 'ml']",1.0
26,Bikin lag,bikin lag,bikin lag,bikin lag,membuat lag,"['membuat', 'lag']",['lag'],['lag'],2.0
27,jelek,jelek,jelek,jelek,jelek,['jelek'],['jelek'],['jelek'],2.0
28,game ini sangat seru,game ini sangat seru,game ini sangat seru,game ini sangat seru,game ini sangat seru,"['game', 'ini', 'sangat', 'seru']","['game', 'sangat', 'seru']","['game', 'sangat', 'seru']",1.0
29,Sangat bagus sekali,sangat bagus sekali,sangat bagus sekali,sangat bagus sekali,sangat bagus sekali,"['sangat', 'bagus', 'sekali']","['sangat', 'bagus', 'sekali']","['sangat', 'bagus', 'sekali']",1.0
31,bANYAK DARK SISTEM ANJ,banyak dark sistem anj,banyak dark sistem anj,banyak dark sistem anj,banyak dark system anjing,"['banyak', 'dark', 'system', 'anjing']","['banyak', 'dark', 'system', 'anjing']","['banyak', 'dark', 'system', 'anjing']",2.0
