index,Content,Preprocessing,Sentimen,Prediksi,Category
0,Bagussssssssssss,['bagus'],positif,positif,TP
1,LOSE STREAK MULU PADAHAL MASIH GOLD MUSUH UDAH SUSAH SEMUA,"['lose', 'streak', 'mulu', 'gold', 'musuh', 'udah', 'susah', 'semua']",negatif,negatif,TN
2,Gamenya bagus dan nggak butuh penyimpanan yg banyak daripada ml jadi lebih enak untuk di mainkan saya kasih lima bintang⭐⭐⭐⭐⭐,"['gamenya', 'bagus', 'tidak', 'butuh', 'simpan', 'banyak', 'ml', 'lebih', 'enak', 'main', 'kasih', 'bintang']",positif,positif,TP
5,gm nya lebih bagus dari pada ml grafik hd,"['game', 'lebih', 'bagus', 'ml', 'grafik', 'hd']",positif,positif,TP
6,bagus game nya,"['bagus', 'game']",positif,positif,TP
7,Desain heronya bagus,"['desain', 'hero', 'bagus']",positif,positif,TP
11,mantap lah game ini kesukaan ku,"['mantap', 'game', 'suka']",positif,positif,TP
12,hebat,['hebat'],positif,negatif,FN
14,mantappppp,['mantap'],positif,positif,TP
15,mantap gamenya,"['mantap', 'gamenya']",positif,positif,TP
16,Game apa ini game nyindir player ml,"['game', 'game', 'nyindir', 'player', 'ml']",negatif,negatif,TN
18,mantap,['mantap'],positif,positif,TP
19,Bgus,['bagus'],positif,positif,TP
20,Bagus gemanya,"['bagus', 'gamenya']",positif,positif,TP
22,bagus lah pokok nya,"['bagus', 'pokok']",positif,positif,TP
23,mirip ml,"['mirip', 'ml']",positif,negatif,FN
26,Bikin lag,['lag'],negatif,negatif,TN
27,jelek,['jelek'],negatif,negatif,TN
28,game ini sangat seru,"['game', 'sangat', 'seru']",positif,positif,TP
29,Sangat bagus sekali,"['sangat', 'bagus', 'sekali']",positif,positif,TP
31,bANYAK DARK SISTEM ANJ,"['banyak', 'dark', 'system', 'anjing']",negatif,negatif,TN
33,Ni game kebanyakan stun babi,"['game', 'banyak', 'stun', 'babi']",negatif,negatif,TN
36,"11,12 sama ml bnyak dark sistem","['ml', 'banyak', 'dark', 'system']",negatif,negatif,TN
37,nice,['bagus'],positif,positif,TP
38,"Saya mencoba bermain custom dengan AI, tapi tidak bisa dijadikan tempat berlatih karena AI terlalu bego dalam memilih lane dan juga buta map","['coba', 'main', 'custom', 'ai', 'tidak', 'bisa', 'jadi', 'latih', 'ai', 'bego', 'pilih', 'lane', 'buta', 'map']",negatif,negatif,TN
39,Dasar plagiat,"['dasar', 'plagiat']",negatif,negatif,TN
